10,KEY,LEVEL 1,LEVEL 2,LEVEL 3,LEVEL 4,PUBLISH,IN_MENU,TYPOLOGIE,LEVEL,DESCRIPTION,EDITO,ID,URL
1220,VO1220,Démarches et services,Urbanisme - habitat,Autorisations d'urbanisme sur Orléans,,1,0,SER,,,,,
1230,VO1230,Démarches et services,Urbanisme - habitat,Demande de logement,,1,0,INFO,,,,143,
1240,VO1240,Démarches et services,Urbanisme - habitat,Aides à l'amélioration de l'habitat,,1,0,INFO,,,,,https://www.adil45-28.org/les-aides-a-lamelioration-de-lhabitat/
1250,VO1250,Démarches et services,Urbanisme - habitat,Entretien du patrimoine,,1,0,INFO,,,,147,
1260,VO1260,Démarches et services,Urbanisme - habitat,Campagne de ravalement,,1,0,INFO,,,,1606,
1270,VO1270,Démarches et services,Urbanisme - habitat,Etablissement recevant du public (ERP),,1,0,INFO,,,,613,
1280,VO1280,Démarches et services,Urbanisme - habitat,Information des Acquéreurs et des Locataires de biens immobiliers,,1,0,INFO,,,,,
1290,VO1290,Ville engagée,,,,1,0,HUB,,,,,
1300,VO1300,Ville engagée,Projets urbains,,,1,0,HUB,,,,,
1310,VO1310,Ville engagée,Projets urbains,Transformation des Mails d’Orléans,,1,0,INFO,,,,,page_OM800
1320,VO1320,Ville engagée,Projets urbains,"Halles Châtelet : demain, un pôle gourmand et convivial",,1,0,INFO,,,,2094,
1330,VO1330,Ville engagée,Projets urbains,ZAC Carmes - Madeleine,,1,0,INFO,,,,399,
1340,VO1340,Ville engagée,Projets urbains,Parc urbain Madeleine,,1,0,INFO,,,,,news_
1350,VO1350,Ville engagée,Projets urbains,Zac Fil Soie,,1,0,INFO,,,,482,
1360,VO1360,Ville engagée,Projets urbains,Parc de Loire,,1,0,INFO,,,,,page_OM760
1370,VO1370,Ville engagée,Projets urbains,Les Groues,,1,0,INFO,,,,,page_OM780
1380,VO1380,Ville engagée,Projets urbains,Les quartiers en rénovation urbaine,,1,0,INFO,,,,,page_OM720
1390,VO1390,Ville engagée,Projets urbains,Interives,,1,0,INFO,,,,,page_OM770
1400,VO1400,Ville engagée,Transition écologique,,,1,0,HUB,,,,,
1410,VO1410,Ville engagée,Transition écologique,Les feuilles de route,,1,0,INFO,,,,2095,
1420,VO1420,Ville engagée,Santé,,,1,0,HUB,,,,,
1430,VO1430,Ville engagée,Santé,Actualités ...,,1,0,INFO,,,,,
1440,VO1440,Ville engagée,Sécurité ,,,1,0,HUB,,,,,
1450,VO1450,Ville engagée,Sécurité ,Actualités ...,,1,0,INFO,,,,,
1460,VO1460,Ville engagée,Participation citoyenne,,,1,0,HUB,,,,,
1470,VO1470,Ville engagée,Participation citoyenne,Budget participatif,,1,0,INFO,,,,1549,
1480,VO1480,Ville engagée,Participation citoyenne,Forums de quartiers : le moment d'échanger,,1,0,INFO,,,,,news_
1490,VO1490,Ville engagée,Participation citoyenne,Orléans Proximité,,1,0,INFO,,,,2048,
1500,VO1500,Ville engagée,Participation citoyenne,Conseil Orléanais de Jeunes,,1,0,INFO,,,,1250,
1510,VO1510,Ville engagée,Participation citoyenne,Prochaines réunions publiques,,1,0,INFO,,,,1238,
1520,VO1520,Mon quartier,,,,1,0,HUB,,,,,
1530,VO1530,Mon quartier,Nord,,,1,0,INFO,,,,97,
1540,VO1540,Mon quartier,Est,,,1,0,INFO,,,,774,
1550,VO1550,Mon quartier,Ouest,,,1,0,INFO,,,,783,
1560,VO1560,Mon quartier,Centre ville,,,1,0,INFO,,,,784,
1570,VO1570,Mon quartier,Saint Marceau,,,1,0,INFO,,,,791,
1580,VO1580,Mon quartier,La Source,,,1,0,INFO,,,,792,
1590,VO1590,Mon quartier,Suivi des projets dans mon quartier,Suivi des projets dans mon quartier,,1,0,INFO,,,,1689,
1600,VO1600,Mon quartier,Boites à livres,,,1,0,INFO,,,,1876,
1610,VO1610,Mon quartier,Nouveaux Orléanais,,,1,0,INFO,,,,79,
1620,VO1620,Vie municipale,Conseil municipal,,,1,0,HUB,,,,,
1630,VO1630,Vie municipale,Conseil municipal,Fonctionnement,,1,0,INFO,,,,866,
1640,VO1640,Vie municipale,Conseil municipal,Archives des compte-rendus,,1,0,INFO,,,,533,
1650,VO1650,Vie municipale,Conseil municipal,Ordre du jour du conseil municipal,,1,0,INFO,,,,532,
1660,VO1660,Vie municipale,Conseil municipal,Archives des procès verbaux,,1,0,INFO,,,,534,
1670,VO1670,Vie municipale,Conseil municipal,Conseil municipal - vidéos,,1,0,INFO,,,,1919,
1680,VO1680,Vie municipale,Conseil municipal,Vos questions au conseil municipal,,1,0,INFO,,,,,news_
1690,VO1690,Vie municipale,Conseil municipal,Recueil des actes administratifs,,1,0,INFO,,,,1768,
1700,VO1700,Vie municipale,Conseil municipal,Le Maire et ses conseillers délégués,,1,0,INFO,,,,886,
1710,VO1710,Vie municipale,Conseil municipal,Les adjoints et leurs conseillers délégués,,1,0,INFO,,,,887,
1720,VO1720,Vie municipale,Conseil municipal,Les conseillers de l'opposition,,1,0,INFO,,,,889,
1730,VO1730,Vie municipale,Conseil municipal,Charte de déontologie des élues et élus municipaux,,1,0,INFO,,,,1869,
1740,VO1740,Vie municipale,Conseil municipal,Expression des groupes politiques,,1,0,INFO,,,,1889,
1750,VO1750,Vie municipale,Conseil municipal,Charte sur la laïcité,,1,0,INFO,,,,1870,
1760,VO1760,Vie municipale,Conseil municipal de jeunes,,,1,0,INFO,,,,104,
1770,VO1770,Vie municipale,Élections,,,1,0,,,,,,
1780,VO1780,Vie municipale,Élections,Présidentielles,,1,0,INFO,,,,,
1781,VO1781,Vie municipale,Élections,Présidentielles,Présidentielles 2022 - 2ème tour,1,0,INFO,,,,2097,
1782,VO1782,Vie municipale,Élections,Présidentielles,Présidentielles 2022 - 1er tour,1,0,INFO,,,,2096,
1783,VO1783,Vie municipale,Élections,Présidentielles,Présidentielles 2017 - 2ème tour,1,0,INFO,,,,1527,
1784,VO1784,Vie municipale,Élections,Présidentielles,Présidentielles 2017 - 1er tour,1,0,INFO,,,,1525,
1785,VO1785,Vie municipale,Élections,Présidentielles,Présidentielles 2012 - 2ème tour,1,0,INFO,,,,1124,
1786,VO1786,Vie municipale,Élections,Présidentielles,Présidentielles 2012 - 1er tour,1,0,INFO,,,,1125,
1790,VO1790,Vie municipale,Élections,Législatives,,1,0,INFO,,,,,
1791,VO1791,Vie municipale,Élections,Législatives,Législatives 2022 - 2ème tour,1,0,INFO,,,,2114,
1792,VO1792,Vie municipale,Élections,Législatives,Législatives 2022 - 1er tour,1,0,INFO,,,,2112,
1793,VO1793,Vie municipale,Élections,Législatives,Législatives 2017 - 2ème tour,1,0,INFO,,,,1548,
1794,VO1794,Vie municipale,Élections,Législatives,Législatives 2017 - 1er tour,1,0,INFO,,,,1533,
1795,VO1795,Vie municipale,Élections,Législatives,Législatives 2012 - 2ème tour,1,0,INFO,,,,1128,
1796,VO1796,Vie municipale,Élections,Législatives,Législatives 2012 - 1er tour,1,0,INFO,,,,1129,
1800,VO1800,Vie municipale,Élections,Municipales,,1,0,INFO,,,,,
1801,VO1801,Vie municipale,Élections,Municipales,Municipales 2020 - 2ème tour,1,0,INFO,,,,1177,
1802,VO1802,Vie municipale,Élections,Municipales,Municipales 2020 - 1er tour,1,0,INFO,,,,1762,
1803,VO1803,Vie municipale,Élections,Municipales,Municipales 2014 - 1er tour,1,0,INFO,,,,1165,
1804,VO1804,Vie municipale,Élections,Municipales,Municipales 2008 - 2ème tour,1,0,INFO,,,,1130,
1805,VO1805,Vie municipale,Élections,Municipales,Municipales 2008 - 1er tour,1,0,INFO,,,,1131,
1810,VO1810,Vie municipale,Élections,Régionales,,1,0,INFO,,,,,
